"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9722","testLogin","Default Suite","Tue Aug 05 22:09:40 CST 2025","passed","Tue Aug 05 22:09:50 CST 2025","com.demoblaze.UsuarioNoIniciaSesionExitosamenteTests","demoblaze","com.demoblaze.UsuarioNoIniciaSesionExitosamenteTests","testLogin"
"","5755","Caso 8: Un usuario registrado compra un monitor.","Default Suite","Tue Aug 05 23:05:39 CST 2025","passed","Tue Aug 05 23:05:44 CST 2025","com.demoblaze.tests.PruebasDeFlujoDeCompra","demoblaze","com.demoblaze.tests.PruebasDeFlujoDeCompra","testCompraDeMonitorComoUsuarioRegistrado"
"","1359","Caso 5: Un usuario no puede crear una cuenta porque ya existe.","Default Suite","Tue Aug 05 23:06:37 CST 2025","passed","Tue Aug 05 23:06:39 CST 2025","com.demoblaze.tests.PruebasDeRegistro","demoblaze","com.demoblaze.tests.PruebasDeRegistro","testCreacionDeCuentaConUsuarioExistente"
"","30255","testLogin","Default Suite","Tue Aug 05 22:19:06 CST 2025","passed","Tue Aug 05 22:19:36 CST 2025","com.demoblaze.UsuarioIniciaSesionExitosamenteCompraMonitorTests","demoblaze","com.demoblaze.UsuarioIniciaSesionExitosamenteCompraMonitorTests","testLogin"
"","13163","testLogin","Default Suite","Tue Aug 05 21:44:34 CST 2025","passed","Tue Aug 05 21:44:47 CST 2025","com.demoblaze.UsuarioNoRegistradoCreaCuentaExitosaTests","demoblaze","com.demoblaze.UsuarioNoRegistradoCreaCuentaExitosaTests","testLogin"
"","4022","Caso 1: Un usuario no registrado compra un teléfono.","Default Suite","Tue Aug 05 23:05:47 CST 2025","passed","Tue Aug 05 23:05:51 CST 2025","com.demoblaze.tests.PruebasDeFlujoDeCompra","demoblaze","com.demoblaze.tests.PruebasDeFlujoDeCompra","testCompraDeTelefonoComoInvitado"
"","18202","testLogin","Default Suite","Tue Aug 05 21:25:00 CST 2025","passed","Tue Aug 05 21:25:18 CST 2025","com.demoblaze.CompraLaptopSinRegistroTests","demoblaze","com.demoblaze.CompraLaptopSinRegistroTests","testLogin"
"","1865","Caso 6: Un usuario inicia sesión exitosamente.","Default Suite","Tue Aug 05 23:06:16 CST 2025","passed","Tue Aug 05 23:06:18 CST 2025","com.demoblaze.tests.PruebasDeLogin","demoblaze","com.demoblaze.tests.PruebasDeLogin","testInicioDeSesionExitoso"
"","25851","testLogin","Default Suite","Tue Aug 05 21:33:28 CST 2025","passed","Tue Aug 05 21:33:54 CST 2025","com.demoblaze.CompraCelularYLaptopSinRegistroTests","demoblaze","com.demoblaze.CompraCelularYLaptopSinRegistroTests","testLogin"
"","3691","Caso 2: Un usuario no registrado compra una laptop.","Default Suite","Tue Aug 05 23:05:33 CST 2025","passed","Tue Aug 05 23:05:37 CST 2025","com.demoblaze.tests.PruebasDeFlujoDeCompra","demoblaze","com.demoblaze.tests.PruebasDeFlujoDeCompra","testCompraDeLaptopComoInvitado"
"","7063","testLogin","Default Suite","Tue Aug 05 21:47:02 CST 2025","failed","Tue Aug 05 21:47:09 CST 2025","com.demoblaze.UsuarioNoPuedeCrearCuentaDeUsuarioNombreExistenteTests","demoblaze","com.demoblaze.UsuarioNoPuedeCrearCuentaDeUsuarioNombreExistenteTests","testLogin"
"","17923","testLogin","Default Suite","Tue Aug 05 20:57:45 CST 2025","passed","Tue Aug 05 20:58:03 CST 2025","com.demoblaze.CompraSinRegistroTests","demoblaze","com.demoblaze.CompraSinRegistroTests","testLogin"
"","9796","testLogin","Default Suite","Tue Aug 05 22:04:32 CST 2025","passed","Tue Aug 05 22:04:41 CST 2025","com.demoblaze.UsuarioIniciaSesionExitosamenteTests","demoblaze","com.demoblaze.UsuarioIniciaSesionExitosamenteTests","testLogin"
"","6540","Caso 3: Comprar teléfono y laptop en la misma sesión.","Default Suite","Tue Aug 05 23:05:53 CST 2025","passed","Tue Aug 05 23:05:59 CST 2025","com.demoblaze.tests.PruebasDeFlujoDeCompra","demoblaze","com.demoblaze.tests.PruebasDeFlujoDeCompra","testCompraDeVariosProductosComoInvitado"
"","1292","Caso 7: Un usuario no puede iniciar sesión por contraseña inválida.","Default Suite","Tue Aug 05 23:06:20 CST 2025","passed","Tue Aug 05 23:06:22 CST 2025","com.demoblaze.tests.PruebasDeLogin","demoblaze","com.demoblaze.tests.PruebasDeLogin","testLoginConContrasenaInvalida"
"","1298","Caso 4: Un usuario no registrado crea una cuenta exitosamente.","Default Suite","Tue Aug 05 23:06:41 CST 2025","passed","Tue Aug 05 23:06:42 CST 2025","com.demoblaze.tests.PruebasDeRegistro","demoblaze","com.demoblaze.tests.PruebasDeRegistro","testCreacionDeCuentaExitosa"
